Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Roof Romp","Romp Roof > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105837898/roof-romp,2.9,-1,Boulder,V4,1,15,34.02174,-116.16332
"Reverse Romp","Romp Roof > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/112458665/reverse-romp,3.0,-1,Boulder,V4+,1,20,34.02174,-116.16332
"Little Sister","Family Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105910576/little-sister,2.0,-1,Boulder,V3,1,10,34.0202,-116.165
"How's Your Mama?","Family Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105910582/hows-your-mama,2.8,-1,Boulder,V4,1,10,34.0202,-116.165
"How's Your Papa?","Family Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105910586/hows-your-papa,2.3,-1,Boulder,V4,1,10,34.0202,-116.165
"West Face","Dino's Egg > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106044167/west-face,2.2,-1,Boulder,V-easy,1,15,34.0202,-116.165
Platypus,"Dino's Egg > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106044788/platypus,1.9,-1,Boulder,V0,1,10,34.0202,-116.165
"Dino's Egg","Dino's Egg > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106044796/dinos-egg,1.9,-1,Boulder,"V0 R",1,15,34.0202,-116.165
"Sit Down Flake","Dino's Egg > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106044191/sit-down-flake,2.0,-1,Boulder,V2,1,5,34.0202,-116.165
"Pitch Two","Dino's Egg > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108567221/pitch-two,3.5,-1,Boulder,V4,1,,34.0202,-116.165
"False Hueco","False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048286/false-hueco,2.6,-1,Boulder,V1,1,11,34.0202,-116.165
"False Hueco Traverse","False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048290/false-hueco-traverse,3.0,-1,Boulder,V2,1,15,34.0202,-116.165
"Falser Hueco Traverse","False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/112443810/falser-hueco-traverse,3.2,-1,Boulder,V2,1,,34.0202,-116.165
"In Through The Outdoor","False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/113257814/in-through-the-outdoor,3.5,-1,Boulder,V3+,1,15,34.0202,-116.165
Torquemeister,"False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048504/torquemeister,2.0,-1,Boulder,V4-,1,10,34.0202,-116.165
Anti-hueco,"False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/109150886/anti-hueco,2.7,-1,Boulder,V4,1,10,34.0202,-116.165
"Problem A","False Hueco Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108556009/problem-a,2.0,-1,Boulder,V4+,1,10,34.0202,-116.165
"Powell Face","Powell Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048308/powell-face,2.6,-1,Boulder,V3,1,18,34.0202,-116.165
"Largo Dyno","Powell Boulder > Outback Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048482/largo-dyno,2.0,-1,Boulder,V4,1,11,34.0202,-116.165
